text,labels
ส่งของล่าช้ามากครับ,neg
ของไม่ตรงปกเลย,neg
ของที่สั่งได้ไม่ครบเลยทำไมร้านไม่รู้จักเช็ค,neg
บริการแย่,neg
ไม่อร่อยเลยไปร้านอื่นยังอร่อยกว่า,neg
พนักงานร้านนี้บริการไม่ดี แย่มากๆดเลย,neg
ร้านควรปรับปรุงเรื่องรสชาติและการบริการ,neg
อิผ้าอนามัยเหิ้ย ติดทุกอย่าง ยกเว้นกางเกงใน,neg
มันบ่แซบ,neg
ราคาไม่คุ้มกับสินค้า,neg
สินค้านี้ราคาค่อนข้างสูง,neg
รองเท้าสีนี้ไม่สวยเลย,neg
กระเป๋าใบนี้ไม่สวยเลย,neg
เสื้อตัวนี้เย็บไม่ดีเลย,neg
ร้านนี้ดูสกปรกมากเลย,neg
ในร้านจานชามดูเปื้อนมาก,neg
อีเหี้ยยยย ไม่สะอาดสัสๆเลย,neg
ระบบจ่างตังควรไวกว่านี้,neg
แม่ค้าทำอาหารช้ามาก,neg
ร้านส่งของไวมาก,pos
ร้านนี้บริการดีมากๆ,pos
พนักงานเสิร์ฟ เสิร์ฟของดีมากต้องให้ทิปเยอะๆแล้ว,pos
ร้านนี้อาหารรสชาติอร่อยมาก,pos
ห้างนี้ดูสะอาดสะอ้านน่ามามากๆ,pos
สินค้าตัวนี้ดูดีและราคาถูกมาก,pos
รองเท้าคู่นี้สวยมาก,pos
อีสัสร้านนี้แม่งโครตอร่อย,pos
ร้านนี้อร่อยเชี้ยๆ ต้องกลับมาซ้ำ,pos
พ่อค้านิสัยดีบริการดีมาก,pos
ทำออกมาแบบนี้โครตแจ่มบอกเลย,pos
อร่อยคุ้มราคามาก,pos
โปรโมชั่นตัวนี้คุ้มดีนะผมว่า,pos
ถุงยางตัวนี้ใช้แล้วรู้สึกเหมือนขึ้นสวรรค์,pos
แพคสิ้นค้าแน่นหนาดีมากเลยร้านนี้,pos
รสชาติติดปากมากร้านนี้,pos
สั่งแล้วได้ตามที่สั่งเลย ชอบๆ,pos
เสื้อตัวนี้สวยดีนะ,pos
หม้อทอดตัวนี้ใช้ดีมากเลย,pos
ร้านดูสวยน่าเขาไปใช้บริการมากๆ,pos
อิห่า แมคไม่คุ้มเลย เคฟซีน่าแดกกว่า ,neg
บุหรี่ไฟฟ้าน่าเกลียดกว่า,neg
พกปืนเถื่อนโทษยังน้อยกว่าบุหรี่ไฟฟ้าอีก,neg
เราจะต้องมาทรมานกับอาการผ้าอนามัยบาดในทุกๆเดือนเลยหรอวะ ฮืออออออ แดงหมดแล้วเด้อ,neg
เสียอย่างเดียวไม่มีกุ้ง,neg
ขโมยน้ำซุปไปทำแดกเองได้ป่ะ อิห่าเซ็ทหมูแพงเกิ๊น เพื่อนกูก็เป็นเจ้าของลูกชิ้นเอ็มเคสั่งถูกๆแดกได้ ,neg
ไฮเนเก้นท์ ถูกกินแล้วขมคอ,neg
พวกคนแก่ชอบขวางโลก,neg
ใส่ผ้าอนามัยนั่งจนตูดเป็นแผลละอ่ะ โห้ว,neg
ผู้หญิงที่ร้องเรียน ดูแล้วจ้องหาเรื่องเหมือนกันนะ โน้นก็ไม่ได้นี่ก็อย่าทำ ตลกอ่ะ,neg
ใจแคบแบบนี้ อยู่ที่ใหนไม่ได้หรอก ทำกับข้าวบ้านเค้า ก็ยังลำบาก สงสารป้ามากกว่า,neg
คนแบบนี้จะไปอยู่ไหนได้ เพราะ คุณต้องเข้าใจ เราต้องอยู่รวมโลก มนุษย์,neg
ไร้น้ำใจที่สุด ใจแคบ อยู่ร่วมสังคมไม่ได้หรอกคนแบบนี้,neg
คนแบบนี้อันตรายในสังคม,neg
ไม่แปลกใจที่พลอยมีนิสัยแบบนี้ ถูกเลี้ยงดูมาจากแม่ที่ไม่ค่อยมีความคิด,neg
ยังไงก็แก้ไม่หาย มันเป็นสันดานไปแล้ว ดูจากพฤติกรรมที่ผ่านมาไม่ธรรมดาเลย,neg
ตรรกะแม่ก็ผิด ลูกก็ถึงเป็นแบบนี้ เข้าใจพ่อที่ทิ้งลูก เพราะแม่เป็นแบบนี้ เข้าใจพ่อ,neg
ขออนุญาตไม่สงสารทั้งแม่ทั้งลูก เพราะหลายครอบครัวลำบากกว่านี้เค้ายังไม่ทำแบบนี้เลย,neg
เสียทั้งตัว เสียทั้งเงิน ผู้ชายถ้ามายุ่งเกี่ยวกับเงินของเราให้มีสติหน่อยนะ,neg
เป็นตอนที่ไร้สาระสุดๆ,neg
ผู้ชายคนนี้ต้องเสียใจไปตลอดชีวิต..ที่ทำกับลูกตัวเองแบบนี้,neg
ผมซื้อยี่ห้อแพงมาแต่ทำแล้วไม่เหมือนในคลิปเลย,neg
ลิงค์ร้านในช้อปปี้เข้าไปไม่เจอร้านแล้วอะคะ ,neg
เสียงพัดลมดังมากไหม เวลาเปิดใช้งาน,neg
ยังขาดความรู้หลายด้านในการรีวิวครับ​,neg
ชื่อราคาอันถูก ใช้แล้วควันขึ้นข้างบนคะ เหม็นใหม้มากคะ,neg
ชอบที่น้องบอกว่าไม่มีถูกไม่มีผิดชอบๆมากค่ะ,pos
รีวิว​ดีมากละเอียด​มากชอบค่ะ,pos
อันถูก ไม่ยุ่งยากในการล้าง มีแค่ตะแกรงเล็ก,pos
ไปเรา 900 พอ ขอบคุณรีวิว ครับ,pos
แบบนี้จะซื้อแพงทำไมเนี่ย เลยของถูกดีกว่าถูกแล้วดีมีอยู๋จริง,pos
ไม่ซื้อของแพง แล้วครับ ซื้อของถูกดีกว่าเยอะ เบคอนออกมาสวยน่ากินกว่าเยอะ5555!!!!!,pos
สีสวยน่าใช้,pos
รุ่นนี้ดีค่ะใช้อยู่ สั่งมา3หม้อแล้ว,pos
สุดยอดการรีวิวค่ะ,pos
น่ากินมากจ้า ดูแล้วหิวเลย ,pos
อย่างน่ากินเลย น่ากินกว่าอาหารตามสั่งบางร้านอีก,pos
น่าทานมากพี่ เย็นนี้ได้เมนู ลุกไปทำตามละ,pos
แค่ดูรูปปกก็หิวแล้ว,pos
น่าอร่อย​นะเนี้ย​,pos
สนุกมากครับ,pos
ผมชอบพี่ตั้งแต่เด็กเลยครับ ,pos
สรุปเนื้อเรื่องดีมากครับ,pos
เป็นคนที่ตั้งใจเล่นบาสสุดๆในยุคนี้ละ เต็มที่ตลอด ไม่มีติดแอ็ค,pos
กลายเป็นอัลบั้มโปรดไปแล้ว,pos
สุดมากกกก รักเบยย วงนี้,pos
ที่สุดของใจ,pos
สิ่งที่รอคอยได้เกิดขึ้นแล้ว,pos
